id,supplier_id,product_id,quantity,unit_price,total_price,status,priority,created_at,updated_at,warehouse,notes
ord_00001,sup_162,prod_4306,66,99.03,6535.98,shipped,high,2023-02-24T03:57:10Z,2023-02-28T03:57:10Z,warehouse_south,After-hours emergency order
ord_00002,sup_042,prod_0768,155,39.69,6151.95,cancelled,medium,2023-05-11T09:18:54Z,2023-05-21T09:18:54Z,warehouse_south,
ord_00003,sup_122,prod_0987,8,15.81,126.48,shipped,high,2024-01-18T08:34:09Z,2024-01-23T08:34:09Z,warehouse_west,Return - damaged items
ord_00004,sup_171,prod_2211,86,4.83,415.38,rejected,low,2024-06-19T12:27:06Z,2024-06-20T12:27:06Z,warehouse_west,Regular monthly order
ord_00005,sup_381,prod_0448,129,383.78,49507.62,cancelled,low,2024-11-13T18:34:07Z,2024-11-22T18:34:07Z,warehouse_central,
ord_00006,sup_161,prod_3454,99,2438.85,241446.15,delivered,high,2023-03-14T16:15:32Z,2023-03-24T16:15:32Z,warehouse_north,
ord_00007,sup_322,prod_2575,14,97.58,1366.12,approved,medium,2023-06-10T16:44:26Z,2023-06-11T16:44:26Z,warehouse_west,
ord_00008,sup_366,prod_0598,81,4433.67,359127.27,cancelled,medium,2024-03-11T12:43:27Z,2024-03-12T12:43:27Z,warehouse_north,Warehouse transfer
ord_00009,sup_197,prod_1675,153,10.86,1661.58,approved,low,2023-05-08T09:04:04Z,2023-05-10T09:04:04Z,warehouse_south,
ord_00010,sup_042,prod_3553,79,23.33,1843.07,delivered,medium,2024-01-12T09:16:56Z,2024-01-19T09:16:56Z,warehouse_north,Sample evaluation
ord_00011,sup_105,prod_3620,152,84.99,12918.48,delivered,low,2024-01-05T11:44:10Z,2024-01-19T11:44:10Z,warehouse_east,Replacement for defective batch
ord_00012,sup_042,prod_3863,196,4.14,811.44,shipped,critical,2023-06-16T02:50:42Z,2023-06-18T02:50:42Z,warehouse_north,New vendor trial order
ord_00013,sup_451,prod_4248,173,11.67,2018.91,approved,low,2024-09-02T00:09:31Z,2024-09-05T00:09:31Z,warehouse_south,Approved by regional manager
ord_00014,sup_220,prod_4077,78,2.83,220.74,pending,high,2023-04-01T06:11:37Z,2023-04-01T06:11:37Z,warehouse_west,Regular monthly order
ord_00015,sup_122,prod_4191,118,48.41,5712.38,delivered,high,2024-09-07T07:29:37Z,2024-09-18T07:29:37Z,warehouse_west,Pending quality check
ord_00016,sup_110,prod_4941,83,2950.17,244864.11,delivered,high,2024-10-06T15:18:28Z,2024-10-11T15:18:28Z,warehouse_east,
ord_00017,sup_378,prod_0107,172,243.86,41943.92,shipped,low,2024-12-28T01:52:53Z,2024-12-31T01:52:53Z,warehouse_south,Urgent restock needed
ord_00018,sup_108,prod_2505,57,37.55,2140.35,shipped,high,2024-07-25T16:12:47Z,2024-07-29T16:12:47Z,warehouse_east,
ord_00019,sup_014,prod_2801,173,20.69,3579.37,rejected,medium,2023-10-24T06:49:28Z,2023-10-27T06:49:28Z,warehouse_east,Pending quality check
ord_00020,sup_253,prod_3884,189,55.5,10489.5,delivered,low,2023-09-03T16:03:23Z,2023-09-12T16:03:23Z,warehouse_central,
ord_00021,sup_042,prod_4258,79,249.06,19675.74,approved,medium,2024-07-15T11:44:16Z,2024-07-18T11:44:16Z,warehouse_north,Sample evaluation
ord_00022,sup_072,prod_3371,135,51.59,6964.65,cancelled,high,2023-01-26T16:59:00Z,2023-02-02T16:59:00Z,warehouse_central,After-hours emergency order
ord_00023,sup_449,prod_4551,34,39,1326,delivered,medium,2023-08-16T22:30:49Z,2023-08-22T22:30:49Z,warehouse_north,Return - damaged items
ord_00024,sup_031,prod_1763,31,0.45,13.95,rejected,medium,2024-07-05T17:02:31Z,2024-07-10T17:02:31Z,warehouse_west,
